Store,Sales_sum,Sales_mean,Sales_std,Customers_sum,Customers_mean,StoreType_first,Assortment_first,CompetitionDistance_first,Sales_Category
47,5601760,7145.1,1745.36,721790,920.65,a,c,270.0,High
48,3085014,3934.97,905.37,336519,429.23,a,a,1060.0,Low
49,5675296,7304.11,1811.95,413137,531.71,d,c,18010.0,High
50,3315479,4256.07,1181.06,279505,358.8,d,a,6260.0,Low
51,4152028,6675.29,1516.28,309126,496.99,a,c,10570.0,Medium
52,4607742,7407.95,1995.84,313176,503.5,d,c,450.0,High
53,4127609,5264.81,1479.47,444300,566.71,a,c,30360.0,Medium
54,6207418,7907.54,2081.58,573426,730.48,d,c,7170.0,High
55,3587212,4598.99,1533.85,435992,558.96,a,a,720.0,Low
56,5718290,7321.75,1730.43,395919,506.94,d,c,6620.0,High
57,8155633,10591.73,3705.14,761161,988.52,d,c,420.0,Very High
58,3947427,6336.16,1789.09,319691,513.15,a,c,7340.0,Medium
59,4302026,5501.31,1913.43,441060,564.02,a,c,2840.0,Medium
60,6265808,8033.09,2697.45,556509,713.47,d,c,5540.0,High
61,3668998,4722.01,1192.85,444241,571.74,a,c,350.0,Low
62,5066512,6503.87,1831.51,559309,717.98,a,a,2050.0,Medium
63,5453808,6956.39,1858.94,500860,638.85,c,c,3700.0,Medium
64,8070070,10359.53,2644.01,617633,792.85,d,c,22560.0,Very High
65,3988058,5112.89,1757.78,355602,455.9,a,c,13840.0,Medium
66,4750858,6114.36,1158.22,407192,524.06,d,a,7660.0,Medium
67,6083079,7828.93,2188.94,620297,798.32,a,c,410.0,High
68,5929590,7563.25,1927.51,903132,1151.95,a,c,250.0,High
69,7362059,9426.45,2172.91,924441,1183.66,c,c,1130.0,High
70,5167478,6608.03,1677.98,531054,679.1,c,c,4840.0,Medium
71,7058595,9061.1,2583.33,581851,746.92,a,a,17500.0,High
72,2753676,4420.03,1773.28,295838,474.86,a,a,2200.0,Low
73,3588351,4576.98,1356.55,387402,494.14,a,c,1650.0,Low
74,4855145,6256.63,1706.95,662877,854.22,a,a,330.0,Medium
75,4722388,6023.45,1289.83,503438,642.14,d,c,22440.0,Medium
76,5606718,8999.55,2068.19,578204,928.1,d,c,19960.0,High
77,5952383,7621.49,1958.09,517673,662.83,d,c,1090.0,High
78,2899629,3717.47,1091.69,385990,494.86,a,a,3510.0,Low
79,4253485,5474.24,1547.23,435499,560.49,a,a,3320.0,Medium
80,5933077,7616.27,1774.03,450064,577.75,d,a,7910.0,High
81,4345098,6985.69,1320.29,349252,561.5,a,a,2370.0,Medium
82,7026310,9019.65,2796.89,653238,838.56,a,a,22390.0,High
83,3028523,3887.71,886.0,269409,345.84,a,a,2710.0,Low
84,10092722,12956.0,2947.79,1084610,1392.31,a,c,11810.0,Very High
85,6850652,7272.45,2272.86,956508,1015.4,b,a,1870.0,High
86,3652727,4695.02,1369.6,470659,604.96,a,a,480.0,Low
87,4598287,5865.16,1631.68,578159,737.45,a,a,560.0,Medium
88,4699058,6024.43,2463.73,478523,613.49,a,a,10690.0,Medium
89,3714173,5971.34,1271.07,388237,624.18,a,a,2380.0,Medium
90,6548246,8416.77,2018.0,822393,1057.06,a,a,330.0,High
91,4324904,5559.0,1664.11,477638,613.93,c,a,2410.0,Medium
92,4671417,5996.68,1836.88,426158,547.06,c,a,240.0,Medium
93,4646872,5965.18,1952.22,470169,603.55,a,a,16690.0,Medium
94,5547371,7121.14,1993.8,498672,640.14,d,c,14620.0,High
95,5958064,7638.54,2434.3,658101,843.72,a,a,1890.0,High
96,4037973,5176.89,2257.38,423364,542.77,a,a,8780.0,Medium
97,5228649,6703.4,2000.31,537288,688.83,d,c,8980.0,Medium
98,3980584,5109.86,1299.45,351785,451.59,d,c,15140.0,Medium
99,3191184,5130.52,1346.82,289554,465.52,c,c,2030.0,Medium
100,4826434,7964.41,1672.27,415849,686.22,d,a,17930.0,High
101,5856384,7469.88,1673.19,609290,777.16,d,c,2440.0,High
102,5444156,7061.16,2368.81,808768,1048.99,a,a,150.0,High
103,2959073,4689.5,1207.66,266040,421.62,d,c,5210.0,Low
104,7939205,10126.54,1418.14,1028904,1312.38,a,a,390.0,Very High
105,3348791,4441.37,1723.25,388347,515.05,a,c,6190.0,Low
106,6718335,8668.82,2070.44,639877,825.65,a,a,1390.0,High
107,5751886,7336.59,1261.9,748964,955.31,a,a,1930.0,High
108,6863994,11035.36,2334.76,527942,848.78,d,c,2190.0,Very High
109,5068030,6464.32,1477.57,582023,742.38,a,c,3300.0,Medium
110,3554993,4534.43,1228.5,460552,587.44,a,c,46590.0,Low
111,5288733,6771.75,1692.26,466784,597.67,d,c,7890.0,Medium
112,4883888,6229.45,904.97,608379,775.99,a,a,1630.0,Medium
113,4477826,7199.08,1714.43,434973,699.31,d,c,20930.0,High
114,4191703,5346.56,1256.11,476770,608.12,c,a,4510.0,Medium
115,4585191,7371.69,1693.14,343372,552.05,d,c,5740.0,High
116,5711629,7294.55,1420.46,593708,758.25,a,a,680.0,High
117,3024044,3881.96,1091.67,383319,492.07,a,a,3450.0,Low
118,6085216,7781.61,2293.52,528277,675.55,d,c,3580.0,High
119,4707987,6005.09,1391.75,521332,664.96,a,c,2100.0,Medium
120,5552990,7110.1,1724.74,498431,638.2,d,a,2290.0,High
121,3473474,4453.17,1381.44,393208,504.11,a,a,3570.0,Low
122,5718883,6462.01,2254.82,702496,793.78,a,c,58260.0,Medium
123,6450589,8399.2,3243.67,737109,959.78,a,a,16760.0,High
124,3446410,4424.15,1270.46,409507,525.68,a,a,1410.0,Low
125,9280089,11836.85,2741.77,1233970,1573.94,a,a,760.0,Very High
126,5069540,6507.75,3049.54,423630,543.81,d,a,3370.0,Medium
127,3263370,5238.15,1513.12,411023,659.75,d,a,1350.0,Medium
128,5822099,7454.67,2146.69,464447,594.68,d,c,2000.0,High
129,5727451,9208.12,2031.71,724918,1165.46,a,a,2460.0,High
130,3999550,5121.06,964.21,448095,573.75,c,a,900.0,Medium
131,4109540,5275.4,1299.8,435381,558.9,c,a,920.0,Medium
132,3908185,6283.26,1591.17,362256,582.41,d,c,1040.0,Medium
133,5057788,6467.76,2163.86,593403,758.83,a,a,270.0,Medium
134,3705099,4725.89,980.92,387764,494.6,a,a,1200.0,Low
135,4648837,5952.42,1366.09,421569,539.78,d,a,5190.0,Medium
136,3414045,5488.82,1793.88,263716,423.98,a,c,2200.0,Medium
137,5147039,8274.98,1714.83,595429,957.28,a,a,1730.0,High
138,5721236,7334.92,2728.31,557266,714.44,a,c,25360.0,High
139,4020701,6464.15,1686.49,319593,513.82,a,a,1700.0,Medium
140,5833328,7469.05,1624.09,752581,963.61,a,c,1090.0,High
141,4305156,5540.74,1463.09,475445,611.9,c,c,1540.0,Medium
142,3586489,4603.97,1065.17,443045,568.74,a,a,1090.0,Low
143,4919195,6314.76,1857.95,453411,582.04,d,a,2930.0,Medium
144,4823879,7718.21,1896.27,455556,728.89,a,c,16570.0,High
145,5072096,8342.26,2070.37,770814,1267.79,a,a,280.0,High
146,6086195,7812.83,2031.91,547187,702.42,d,c,8050.0,High
147,6397583,8212.56,1991.07,685221,879.62,d,c,8540.0,High
148,6772949,8638.97,1576.82,642470,819.48,a,a,2090.0,High
149,3462975,5567.48,1497.34,302428,486.22,d,a,2610.0,Medium
150,6599117,8417.24,2151.46,643191,820.4,c,c,31830.0,High
151,5269496,6755.76,1858.23,508566,652.01,d,c,4360.0,Medium
152,4317171,5541.94,1860.54,484073,621.4,a,a,1780.0,Medium
153,5505047,7066.81,2601.5,493792,633.88,a,a,16240.0,High
154,6824045,8737.57,2289.92,575933,737.43,d,c,16420.0,High
155,4290509,6886.85,1627.5,411372,660.31,d,a,3050.0,Medium
156,5443980,6961.61,2815.32,557269,712.62,a,a,2020.0,Medium
157,7574054,9722.79,2425.04,771078,989.83,a,c,2950.0,High
158,6354198,8156.87,1646.7,405068,519.98,d,c,11840.0,High
159,4827383,7748.61,2090.59,433591,695.97,d,a,8530.0,High
160,4475644,5730.66,1409.86,436723,559.18,d,c,17110.0,Medium
161,5649774,7252.6,1400.03,638171,819.22,a,c,2970.0,High
162,6066911,7768.13,2167.97,433998,555.7,d,c,5340.0,High
163,5722186,7298.71,1517.63,682711,870.8,a,a,1480.0,High
164,3868966,6210.22,1986.16,394629,633.43,a,a,1160.0,Medium
165,2486031,3996.83,931.9,262891,422.65,a,a,3720.0,Low
166,4533193,5819.25,1527.92,636652,817.27,a,c,100.0,Medium
167,7250708,9295.78,3220.27,823044,1055.18,a,a,140.0,High
168,5840824,7517.15,2287.2,568177,731.24,a,a,12540.0,High
169,5529699,7218.93,1975.1,526944,687.92,d,a,980.0,High
170,3902355,5009.44,1327.25,423591,543.76,a,a,1070.0,Medium
171,6566306,8429.15,2513.83,675584,867.25,a,a,2640.0,High
172,4342600,6981.67,1316.57,540457,868.9,a,a,110.0,Medium
173,6454502,8232.78,1910.68,789125,1006.54,a,a,350.0,High
174,3692528,5936.54,1028.59,298263,479.52,a,a,13090.0,Medium
175,4535086,5784.55,1229.93,541515,690.71,c,a,4130.0,Medium
176,4111700,5278.18,1784.9,492327,632.0,a,a,3770.0,Medium
177,3115395,3994.1,1431.4,378516,485.28,a,a,1250.0,Low
178,7870142,10089.93,2946.74,720381,923.57,d,a,1710.0,Very High
179,5683019,7295.27,2078.73,744593,955.83,a,c,480.0,High
180,5660528,7220.06,1560.12,661099,843.24,d,a,5800.0,High
181,3976421,6382.7,2229.54,416656,668.79,a,a,12610.0,Medium
182,4142935,5304.65,1382.46,326297,417.79,d,c,1390.0,Medium
183,2945836,4821.34,1671.59,367233,601.04,a,a,9670.0,Low
184,5123769,6594.3,1665.88,462834,595.67,d,c,3560.0,Medium
185,5621764,7170.62,1877.1,427459,545.23,d,c,1860.0,High
186,2353548,3783.84,923.01,237019,381.06,a,a,290.0,Low
187,4923311,6279.73,1712.37,608155,775.71,a,c,19360.0,Medium
188,3884836,4986.95,1491.39,341389,438.24,d,a,850.0,Low
189,6826322,8762.93,1945.86,652121,837.13,d,a,5760.0,High
190,4477750,7198.95,1516.72,408097,656.1,a,a,1470.0,High
191,4253819,6838.94,1247.79,444020,713.86,a,a,1100.0,Medium
192,5608471,9016.83,3350.51,401447,645.41,d,c,2770.0,High
193,4166302,5362.04,1716.91,607349,781.66,a,a,520.0,Medium
194,3752516,4829.49,1047.37,324514,417.65,d,c,16970.0,Low
195,8345567,10713.18,2482.93,1011485,1298.44,a,c,220.0,Very High
196,4079175,5216.34,1417.0,544939,696.85,c,a,3850.0,Medium
197,5367788,6846.67,1762.77,660348,842.28,c,a,4210.0,Medium
198,2268273,2900.6,1597.76,264690,338.48,a,a,290.0,Low
199,6197488,7955.7,2087.64,486550,624.58,d,c,6360.0,High
200,6021315,7729.54,1469.14,753802,967.65,a,a,1650.0,High
201,4089245,5249.35,1280.62,346044,444.22,d,a,20260.0,Medium
202,4737388,6065.8,1362.95,397835,509.39,d,c,5140.0,Medium
203,5298238,6775.24,1820.56,690154,882.55,c,c,490.0,Medium
204,3412446,5486.25,1044.27,326039,524.18,a,a,5630.0,Medium
205,5124867,6536.82,1663.15,689282,879.19,a,a,110.0,Medium
206,5575733,7157.55,2141.93,623126,799.91,a,c,380.0,High
207,8768418,11184.21,3256.12,1019499,1300.38,a,a,6870.0,Very High
208,2302052,2936.29,716.53,324162,413.47,c,a,300.0,Low
209,4928424,5587.78,1891.57,509083,577.19,a,c,11680.0,Medium
210,2488114,3193.98,849.29,254156,326.26,d,a,970.0,Low
211,10187567,12994.35,3176.59,1164871,1485.8,a,c,350.0,Very High
212,3744115,4775.66,1255.2,361234,460.76,a,c,15050.0,Low
213,6334081,8131.04,2173.49,508427,652.67,d,c,4030.0,High
214,7269531,9331.88,2284.73,557336,715.45,d,a,8650.0,High
215,3920679,6313.49,1813.89,304466,490.28,d,a,150.0,Medium
216,5607978,7226.78,1872.64,688834,887.67,c,a,190.0,High
217,3685496,4700.89,996.86,504018,642.88,c,a,3150.0,Low
218,3121555,5018.58,1503.02,433160,696.4,a,c,640.0,Medium
219,2441162,3133.71,822.27,316620,406.44,a,a,1640.0,Low
220,3807392,4906.43,1283.83,500228,644.62,a,a,1000.0,Low
221,4564321,5821.84,1412.34,433356,552.75,d,c,13530.0,Medium
222,3906246,4982.46,1449.69,440266,561.56,a,a,2170.0,Low
223,5656109,7232.88,2077.85,577676,738.72,d,c,2920.0,High
224,5151315,6629.75,1768.49,371919,478.66,d,c,7930.0,Medium
225,4064054,5197.0,1470.36,435047,556.33,d,a,10180.0,Medium
226,5667944,7257.29,1653.42,549052,703.01,a,a,450.0,High
227,4623704,6020.45,1889.89,430968,561.16,a,a,2370.0,Medium
228,6190043,7946.14,1549.44,462038,593.12,d,c,10800.0,High
229,6734738,8645.36,2234.16,571982,734.25,d,c,17410.0,High
230,5928326,7561.64,1662.81,737138,940.23,d,c,6680.0,High
231,2967114,4770.28,1287.81,245380,394.5,d,c,3840.0,Low
232,2583221,3372.35,1068.59,232738,303.84,c,c,13570.0,Low
233,7365681,9431.09,1800.28,805731,1031.67,a,a,1890.0,High
234,8625334,11072.32,3506.85,798258,1024.72,d,a,4370.0,Very High
235,4635585,5935.45,1947.24,391382,501.13,a,a,5710.0,Medium
236,5581738,7119.56,1967.07,677994,864.79,a,a,1000.0,High
237,3556217,4535.99,759.03,450589,574.73,a,a,1420.0,Low
238,5868876,7661.72,1907.13,843640,1101.36,a,a,320.0,High
239,3950473,5071.21,1385.36,367741,472.07,d,c,610.0,Medium
240,3772636,4812.04,989.72,360447,459.75,a,a,1110.0,Low
241,5128334,6583.23,1458.2,548976,704.72,d,c,780.0,Medium
242,3196707,4093.09,1446.18,285726,365.85,d,a,6880.0,Low
243,4407146,7074.07,2092.97,594010,953.47,a,a,310.0,High
244,4106186,5271.1,1700.87,420927,540.34,d,a,710.0,Medium
245,6949075,8897.66,1539.21,797211,1020.76,a,c,1310.0,High
246,5551547,7081.05,1474.62,734843,937.3,c,a,4660.0,High
247,6698411,8576.71,2445.77,534178,683.97,d,c,70.0,High
248,6555942,8362.17,2257.58,872228,1112.54,a,c,340.0,High
249,4144086,5285.82,1274.3,421584,537.73,d,c,18010.0,Medium
250,6615557,8470.62,2481.29,513850,657.94,d,a,3520.0,High
251,14896870,19123.07,3547.64,1908934,2450.49,a,c,340.0,Very High
252,8269484,10615.51,2889.08,630702,809.63,d,c,22330.0,Very High
253,4476698,5746.72,2048.83,538066,690.71,a,c,250.0,Medium
254,2341661,3005.98,832.14,201507,258.67,d,a,330.0,Low
255,4885211,6271.13,1486.82,498843,640.36,c,c,4630.0,Medium
256,7630314,9832.88,2835.27,967823,1247.19,a,c,80.0,High
257,4183099,5335.59,1462.64,495496,632.01,a,a,420.0,Medium
258,3509384,5642.1,1235.11,307197,493.89,a,a,27190.0,Medium
259,10851871,11643.64,2531.8,2210980,2372.3,b,b,210.0,Very High
260,5143038,6560.0,809.61,714576,911.45,a,a,540.0,Medium
261,9828244,12616.49,4872.38,739220,948.93,d,c,15340.0,Very High
262,19516842,20718.52,4668.88,3204694,3402.01,b,a,1180.0,Very High
263,2306075,3707.52,947.19,221342,355.86,a,c,1140.0,Low
264,5512491,7234.24,2294.06,727234,954.38,a,a,180.0,High
265,3859812,4954.83,1769.76,392036,503.26,a,a,4580.0,Low
266,3424011,4389.76,1370.53,414483,531.39,a,c,360.0,Low
267,7282702,9289.16,2614.53,881620,1124.52,c,a,2460.0,High
268,3826840,4881.17,1449.48,468855,598.03,a,a,4520.0,Low
269,7281084,9346.71,3023.14,959027,1231.1,a,c,60.0,High
270,7284633,9291.62,1607.61,944773,1205.07,a,a,1450.0,High
271,6116519,7841.69,3439.78,617651,791.86,a,a,420.0,High
272,4871343,6237.31,2184.75,491687,629.56,a,a,16180.0,Medium
273,5499466,7059.65,2005.59,548145,703.65,a,c,8480.0,High
274,3794012,4070.83,1400.06,925235,992.74,b,b,3640.0,Low
275,4630070,7443.84,1651.33,466063,749.3,d,a,300.0,High
276,3191132,4091.19,1243.74,406340,520.95,a,a,2960.0,Low
277,4008491,6444.52,1628.82,332923,535.25,d,c,7840.0,Medium
278,5599459,7142.17,1804.31,621398,792.6,a,c,9260.0,High
279,5532919,8881.09,3024.24,415873,667.53,d,c,2320.0,High
280,4869839,6267.49,1321.88,404863,521.06,d,c,18640.0,Medium
281,4594724,5860.62,1269.34,430929,549.65,d,c,6970.0,Medium
282,3456330,4408.58,1040.19,502531,640.98,a,a,1220.0,Low
283,4425007,7114.16,1328.4,446799,718.33,a,a,2260.0,High
284,3367042,5413.25,1425.64,279858,449.93,d,a,1290.0,Medium
285,4025996,5154.92,1143.65,367256,470.24,a,a,2410.0,Medium
286,3838772,4927.82,2068.02,335325,430.46,a,a,1460.0,Low
287,5070793,8152.4,1419.87,509417,819.0,c,a,2740.0,High
288,3499206,5625.73,1612.52,262806,422.52,d,a,800.0,Medium
289,4936879,6321.23,1481.93,432447,553.71,d,a,6540.0,Medium
290,5464029,7014.16,2202.57,531828,682.71,a,a,4150.0,High
291,6257971,8023.04,2634.45,655473,840.35,d,a,2320.0,High
292,4422953,5774.09,1961.24,541196,706.52,a,a,1100.0,Medium
293,4899830,6257.77,1663.78,638439,815.38,c,c,140.0,Medium
294,4506589,5770.28,1689.71,598265,766.02,a,a,3150.0,Medium
295,4106780,5285.43,1322.49,521352,670.98,a,a,210.0,Medium
296,5438463,6963.46,1888.21,589505,754.81,a,a,9580.0,Medium
297,5432839,6992.07,1947.91,559386,719.93,a,a,2300.0,Medium
298,5223940,8398.62,1872.55,429979,691.28,d,a,19840.0,High
299,5499540,6235.31,2175.57,602255,682.83,d,c,38630.0,Medium
300,5534680,7077.6,1540.3,687137,878.69,a,c,120.0,High
301,4342138,5538.44,1169.64,467376,596.14,a,c,4510.0,Medium
302,2922724,3742.28,1067.28,252528,323.34,d,c,2190.0,Low
303,4740126,6180.09,1980.58,516285,673.12,a,a,15430.0,Medium
304,5541079,7067.7,1800.91,827856,1055.94,a,a,1950.0,High
305,4176274,5347.34,1667.45,396325,507.46,c,c,2470.0,Medium
306,2717435,4368.87,1079.22,291021,467.88,a,a,5100.0,Low
307,2114322,2703.74,1032.83,240704,307.81,a,a,18660.0,Low
308,7183229,9353.16,2668.79,720753,938.48,a,a,1070.0,High
309,5430658,6971.32,2015.68,460414,591.03,d,a,8740.0,Medium
310,7388018,8236.36,3142.93,627604,699.67,a,c,2290.0,High
311,5184737,6638.59,1455.39,616333,789.16,a,c,680.0,Medium
312,4348731,5568.16,1585.11,420688,538.65,d,a,11300.0,Medium
313,5533037,7075.49,2233.6,552885,707.01,d,c,14160.0,High
314,4002280,5137.72,1458.37,445010,571.26,a,a,3560.0,Medium
315,3333890,4252.41,1172.21,352465,449.57,a,c,38710.0,Low
316,7677532,9855.63,2508.25,702532,901.84,d,a,9000.0,High
317,3346040,5379.49,1184.03,360336,579.32,d,a,3140.0,Medium
318,5871619,7527.72,2206.25,513822,658.75,d,c,32330.0,High
319,6105068,7787.08,1804.9,661449,843.68,a,c,570.0,High
320,11630218,14834.46,3410.48,1617489,2063.12,a,c,210.0,Very High
321,4647488,5958.32,1456.71,456662,585.46,c,c,8140.0,Medium
322,3926557,5021.17,2041.98,428432,547.87,a,a,17500.0,Medium
323,5737615,7365.36,1568.03,483870,621.14,d,c,8400.0,High
324,4436629,5687.99,2381.86,562953,721.73,a,a,13140.0,Medium
325,5051539,6484.65,1733.44,524314,673.06,a,c,350.0,Medium
326,3901936,5008.9,1254.67,326200,418.74,d,a,10070.0,Medium
327,6012573,7728.24,1990.71,723138,929.48,c,c,1390.0,High
328,3452551,4432.03,1199.87,405391,520.4,a,a,3130.0,Low
329,5385006,6912.72,2038.39,483386,620.52,a,a,1310.0,Medium
330,3245811,4166.64,1041.84,348645,447.55,a,c,370.0,Low
331,4799307,6160.86,1711.89,638940,820.21,a,c,670.0,Medium
332,2908282,3728.57,1278.44,391168,501.5,a,a,1840.0,Low
333,7662181,9773.19,2005.66,993414,1267.11,a,c,3720.0,High
334,4228712,5428.39,1196.62,437907,562.14,d,c,4040.0,Medium
335,12541731,13313.94,4762.35,2246936,2385.28,b,a,90.0,Very High
336,10850316,13910.66,3276.05,1529043,1960.31,a,a,190.0,Very High
337,3943779,5049.65,1152.66,299850,383.93,d,c,10600.0,Medium
338,5637222,7217.95,1782.65,487915,624.73,a,c,1590.0,High
339,3881031,5133.64,1239.06,513596,679.36,a,c,2280.0,Medium
340,5084744,6485.64,1696.9,560590,715.04,a,c,8080.0,Medium
341,4293485,5511.53,1298.08,584355,750.13,a,a,190.0,Medium
342,6895670,11104.14,2075.03,527685,849.73,d,c,15770.0,Very High
343,5608306,7199.37,2017.28,546982,702.16,d,a,18650.0,High
344,6649189,8481.11,2549.81,893298,1139.41,a,c,300.0,High
345,2836062,4559.59,1170.56,307503,494.38,a,a,120.0,Low
346,5320960,6830.5,1625.7,482745,619.7,a,c,8090.0,Medium
347,3732856,4804.19,1106.38,300454,386.68,d,c,9360.0,Low
348,5255376,8802.97,2314.29,439128,735.56,a,a,16490.0,High
349,5711451,8159.22,1474.62,580713,829.59,c,c,1490.0,High
350,5477257,7013.13,1788.84,413472,529.41,d,a,8880.0,High
351,4710510,6046.87,1558.42,404164,518.82,a,a,5290.0,Medium
352,5246710,6692.23,1401.83,499372,636.95,d,c,6360.0,Medium
353,5255773,5645.3,1451.22,1349510,1449.53,b,b,900.0,Medium
354,6536263,8390.58,2010.27,549547,705.45,d,c,1500.0,High
355,7172668,9148.81,2239.91,863704,1101.66,a,c,9720.0,High
356,4443882,5719.28,1283.26,338618,435.8,d,c,8970.0,Medium
357,5986921,7795.47,2382.64,781188,1017.17,a,a,2060.0,High
358,8028461,10306.11,2598.26,874499,1122.59,a,a,2890.0,Very High
359,5337128,6851.26,1353.84,476709,611.95,d,c,4370.0,Medium
360,5437400,6935.46,1763.3,593128,756.54,a,a,2040.0,Medium
361,4888169,6266.88,1689.02,497502,637.82,c,c,4490.0,Medium
362,7323168,9376.66,2098.24,898633,1150.62,c,c,340.0,High
363,5593213,7134.2,1449.78,734675,937.09,a,a,250.0,High
364,3510451,4553.11,1455.77,437640,567.63,a,c,13620.0,Low
365,3378609,5440.59,1372.92,364655,587.21,c,a,2410.0,Medium
366,4833475,6196.76,2209.0,468724,600.93,d,c,6470.0,Medium
367,4119323,5254.24,1508.32,425547,542.79,d,c,2640.0,Medium
368,7526231,9686.27,3155.42,553908,712.88,d,c,1450.0,High
369,5354973,6856.56,1474.6,450860,577.29,d,c,5870.0,Medium
370,5959072,7649.64,1835.78,495158,635.63,d,a,8250.0,High
371,5380900,6889.76,1886.91,425185,544.41,d,c,1970.0,Medium
372,6844455,8786.21,2186.75,591494,759.3,d,c,4880.0,High
373,3520201,4530.5,1067.01,245955,316.54,d,c,11120.0,Low
374,5495584,7009.67,1790.97,650513,829.74,a,a,1150.0,High
375,7148220,9164.38,3642.62,592001,758.98,a,c,15710.0,High
376,6548133,8460.12,2340.73,735270,949.96,a,a,160.0,High
377,6129725,7818.53,2148.59,760021,969.41,a,c,100.0,High
378,4927020,6324.8,1814.7,755752,970.16,a,c,2140.0,Medium
379,3059341,3902.22,1003.22,366551,467.54,d,a,6630.0,Low
380,11261676,14456.58,3410.09,1075375,1380.46,a,a,2240.0,Very High
381,7021213,9001.56,2489.58,752849,965.19,a,a,1800.0,High
382,6228961,7985.85,2457.93,507968,651.24,c,c,26130.0,High
383,13489879,17294.72,2785.81,1720249,2205.45,a,c,350.0,Very High
384,6937572,8871.58,2967.19,781105,998.86,a,c,130.0,High
385,4570779,7348.52,2045.16,407132,654.55,d,a,4580.0,High
386,6255013,8029.54,2479.45,502764,645.4,d,c,1460.0,High
387,7171744,9362.59,2800.57,915984,1195.8,c,a,210.0,High
388,7990920,10257.92,2507.25,854131,1096.45,a,a,2260.0,Very High
389,8104523,10337.4,2327.8,992082,1265.41,a,c,6690.0,Very High
390,9023552,11568.66,2693.73,832564,1067.39,a,c,1600.0,Very High
391,4392619,5719.56,1984.05,530324,690.53,a,a,460.0,Medium
392,5670675,7279.43,2305.29,559386,718.08,a,a,2120.0,High
393,4598489,5903.07,1529.76,457473,587.26,d,c,4820.0,Medium
394,6523885,8353.25,1982.51,516922,661.87,d,a,10850.0,High
395,3107536,3989.13,1018.14,404811,519.65,a,a,3620.0,Low
396,7973232,10222.09,3455.9,840769,1077.91,a,c,23130.0,Very High
